customer_number,campaign_period_sales,historical_sales_volume,date_of_first_purchase,number_of_prior_year_transactions,do_not_direct_mail_solicit,do_not_email,do_not_telemarket,repurchase_method,last_transaction_channel,desk,executive_chair,standard_chair,monitor,printer,computer,insurance,toner,office_supplies,number_of_employees,language,num_emp,cp_sales,years_as_customer,hist_sales_bin,hist_years_as_customer_bin,hist_transactions_bin,repurchase_method_AUTO RENEW,repurchase_method_NOTICE,repurchase_method_PAYMENT PLAN,last_transaction_channel_AUTO RENEW,last_transaction_channel_BILLING,last_transaction_channel_BRANCH (PHONE),last_transaction_channel_BRANCH (POS),last_transaction_channel_IT,last_transaction_channel_MAIL,last_transaction_channel_NONE,last_transaction_channel_PHONE,last_transaction_channel_WEB,num_emp_avg_3,num_emp_avg_8,num_emp_avg_25,num_emp_avg_75,num_emp_avg_300,num_emp_avg_500,sale_1319.313_to_155862.72,sale_155862.72_to_303035.2,sale_303035.2_to_517717.2,sale_517717.26_to_929078.857,sale_929078.857_to_34412125.8,Years_0-10,Years_11-20,Years_21-30,Years_30-40,Years_40-50,Years_50+,Transactions_0-5,Transactions_6-10,Transactions_11-15,Transactions_16-20,Transactions_21-25,Transactions_25+,probs,success_pred
33391917,1120.8,336240.0,1993-11-01,15,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,101-500,English,300,1,26,sale_303035.2_to_517717.2,21-30,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.7928207550094051,0
33392650,288.4761904761905,259628.57142857145,1981-10-15,15,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,Spanish,8,1,38,sale_155862.72_to_303035.2,30-40,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7996646175106025,0
33394055,0.0,366096.6400000001,1987-11-01,20,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,11-50,English,25,0,32,sale_303035.2_to_517717.2,30-40,16-20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7440464358026962,0
33394056,0.0,139325.73333333337,1989-06-15,19,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,1,0,1,6-10,English,8,0,30,sale_1319.313_to_155862.72,21-30,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.7515875250367129,0
33396836,0.0,1995951.5333333327,2011-05-06,7,0.0,0.0,0.0,AUTO RENEW,PHONE,0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,8,sale_929078.857_to_34412125.8,0-10,6-10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.8338306663595734,0
33397348,0.0,524568.0000000001,2008-04-01,22,0.0,0.0,0.0,NOTICE,BRANCH (PHONE),1,0,0,0,0,0,0,0,1,51-100,English,75,0,11,sale_517717.26_to_929078.857,11-20,21-25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7668496262045006,0
33397415,349.39047619047614,719744.380952381,1993-08-01,20,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,1,26,sale_517717.26_to_929078.857,21-30,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.8246009767892372,0
33398125,0.0,721655.6666666667,1989-03-01,23,0.0,0.0,0.0,NOTICE,BRANCH (POS),0,0,0,0,0,0,1,0,1,51-100,English,75,0,30,sale_517717.26_to_929078.857,21-30,21-25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.808041588024149,0
33404114,137.39200000000002,319024.22400000005,1979-10-15,18,0.0,0.0,0.0,NOTICE,MAIL,0,1,0,0,0,0,0,0,1,1-5,English,3,1,40,sale_303035.2_to_517717.2,30-40,16-20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7723254966065135,0
33407791,0.0,746782.7200000002,1996-03-01,24,0.0,0.0,0.0,NOTICE,WEB,1,0,0,0,0,0,1,0,1,11-50,English,25,0,23,sale_517717.26_to_929078.857,21-30,21-25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7997991323628307,0
